scorer,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000
bodyparts,pupil1,pupil1,pupil1,pupil2,pupil2,pupil2,pupil3,pupil3,pupil3,pupil4,pupil4,pupil4,eyelid,eyelid,eyelid
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
44,342.6598815917969,147.41371154785156,1.0,354.98980712890625,173.88082885742188,1.0,358.2351989746094,155.33265686035156,1.0,340.9221496582031,166.2267608642578,1.0,304.37652587890625,134.8637237548828,1.0
45,342.08966064453125,147.33236694335938,1.0,354.94073486328125,174.2023468017578,1.0,358.3107604980469,155.20640563964844,1.0,340.8010559082031,166.2532196044922,1.0,304.4564514160156,133.71290588378906,1.0
46,342.2149963378906,147.88357543945312,1.0,354.8771667480469,174.6080780029297,1.0,357.40020751953125,156.16046142578125,1.0,340.42401123046875,166.62799072265625,1.0,304.7377624511719,133.51637268066406,1.0
47,341.57891845703125,147.85780334472656,1.0,354.1335754394531,173.98606872558594,1.0,357.0669860839844,155.6237030029297,1.0,339.6297912597656,166.1140594482422,1.0,304.6618347167969,132.60150146484375,1.0
48,341.78271484375,148.13394165039062,1.0,354.2831726074219,174.37957763671875,1.0,356.8764343261719,155.8748321533203,1.0,339.44171142578125,166.39495849609375,1.0,303.98126220703125,133.04673767089844,1.0
49,341.9645690917969,148.3880157470703,1.0,354.1871643066406,174.54360961914062,1.0,357.1589660644531,156.15542602539062,1.0,339.9013366699219,166.86196899414062,1.0,304.3946228027344,131.95645141601562,1.0
50,341.7607727050781,148.3612823486328,1.0,354.2596130371094,174.6014404296875,1.0,357.16192626953125,156.19224548339844,1.0,339.629150390625,166.5809326171875,1.0,303.8962707519531,132.98033142089844,1.0
51,341.6721496582031,149.14923095703125,1.0,354.04541015625,174.10360717773438,1.0,356.758544921875,155.841064453125,1.0,339.6319885253906,166.6356201171875,1.0,304.0013732910156,133.0825958251953,1.0
52,341.78228759765625,148.17562866210938,1.0,354.3489074707031,174.18447875976562,1.0,357.2011413574219,156.01504516601562,1.0,339.7899169921875,166.45779418945312,1.0,304.5908508300781,132.25515747070312,1.0
53,341.7126159667969,147.88568115234375,1.0,354.1905517578125,174.0611114501953,1.0,356.942626953125,155.65396118164062,1.0,339.2851867675781,166.1822509765625,1.0,303.8529052734375,132.37347412109375,1.0
54,341.6759033203125,148.1436004638672,1.0,354.3221130371094,174.37496948242188,1.0,357.2315673828125,155.78704833984375,1.0,339.48687744140625,166.35275268554688,1.0,304.2320861816406,132.72096252441406,1.0
55,342.145263671875,147.52105712890625,1.0,354.5495910644531,174.2383270263672,1.0,357.3250732421875,155.70643615722656,1.0,339.582275390625,166.0660400390625,1.0,304.3894958496094,132.43533325195312,1.0
56,341.81085205078125,147.81996154785156,1.0,353.88397216796875,173.92660522460938,1.0,356.9153747558594,155.75950622558594,1.0,339.21728515625,166.01065063476562,1.0,304.6412353515625,132.38034057617188,1.0
57,341.5183410644531,148.15005493164062,1.0,352.984375,172.89773559570312,1.0,356.8534851074219,155.7612762451172,1.0,339.80810546875,166.07522583007812,1.0,305.08245849609375,131.8807830810547,1.0
58,342.43096923828125,147.8945770263672,1.0,354.2181091308594,174.01380920410156,1.0,357.039794921875,155.9683074951172,1.0,339.80316162109375,165.89859008789062,1.0,305.1780090332031,132.1541290283203,1.0
59,342.0087585449219,147.95443725585938,1.0,354.7088928222656,174.33599853515625,1.0,357.50457763671875,155.9698944091797,1.0,339.65966796875,166.51260375976562,1.0,304.64178466796875,132.44346618652344,1.0
60,341.44586181640625,147.98814392089844,1.0,354.51727294921875,174.63787841796875,1.0,357.39794921875,156.09539794921875,1.0,340.0032653808594,167.0493927001953,1.0,305.10223388671875,132.3155059814453,1.0
61,342.2104797363281,148.20484924316406,1.0,354.19189453125,174.01844787597656,1.0,356.9054870605469,155.9357452392578,1.0,339.7251892089844,166.17616271972656,1.0,305.5036315917969,132.11593627929688,1.0
62,341.7884216308594,148.57252502441406,1.0,354.06512451171875,173.8686065673828,1.0,356.5978698730469,155.85523986816406,1.0,339.9779052734375,166.1887664794922,1.0,304.8223571777344,131.54989624023438,1.0
